amount_usd,currency,merchant_name,country,log_amount,velocity_10m,high_value,very_high_value,suspicious_merchant,off_hours,new_device,ip_risk,non_ng_context,is_risky
1562.71,GBP,Shopify Merchant,DE,7.3548,1.0,1.0,0.0,0.0,0.0,0.0,0.45,1.0,0
26.43,USD,Apple,NG,3.3116,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1028.31,GBP,Amazon,CN,6.9366,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
26.15,USD,Shopify Merchant,US,3.3015,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
27.94,EUR,Shopify Merchant,US,3.3653,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
7065.45,EUR,Netflix,RU,8.8631,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1
1536.43,GBP,Apple,NG,7.3379,2.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,1
2049.15,USD,Spotify,NG,7.6257,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12.93,USD,Spotify,NG,2.634,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0
5.0,GBP,Spotify,NG,1.7918,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31.63,EUR,XXX Test Casino,NG,3.4853,2.0,0.0,0.0,1.0,0.0,1.0,0.45,0.0,0
7178.13,GBP,Spotify,NG,8.8789,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1
27.85,USD,Apple,NG,3.3623,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
1186.7,EUR,Netflix,NG,7.0798,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
20.32,EUR,Amazon,NG,3.0598,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40.33,EUR,Spotify,NG,3.7215,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0
22.37,EUR,Netflix,NG,3.1514,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61.02,EUR,Shopify Merchant,NG,4.1275,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1128.94,EUR,Apple,CN,7.0299,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
19.97,USD,Apple,NG,3.0431,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
871.05,USD,Apple,RU,6.7708,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
17.58,GBP,Spotify,US,2.922,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
8658.15,GBP,XXX Test Casino,NG,9.0664,1.0,1.0,1.0,1.0,0.0,0.0,0.45,0.0,1
1285.04,GBP,Apple,NG,7.1593,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
965.48,USD,Dark Web Market,NG,6.8737,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1
88.72,USD,Apple,NG,4.4967,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
24.47,EUR,Apple,NG,3.2375,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
29.57,USD,Spotify,NG,3.4201,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
46.26,USD,Apple,NG,3.8556,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0
8.75,EUR,Amazon,NG,2.2772,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1623.18,EUR,Anonymous Crypto Mix,NG,7.3928,2.0,1.0,0.0,1.0,0.0,0.0,0.45,0.0,1
4871.42,GBP,XXX Test Casino,RU,8.4913,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
24.33,GBP,Dark Web Market,NG,3.2321,6.0,0.0,0.0,1.0,0.0,1.0,0.45,0.0,1
17.14,USD,Apple,NG,2.8981,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
20.24,EUR,Shopify Merchant,NG,3.056,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
5.0,USD,Stripe Demo Store,NG,1.7918,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
17.58,GBP,Spotify,NG,2.9219,8.0,0.0,0.0,0.0,1.0,0.0,0.45,0.0,1
11.86,USD,Shopify Merchant,NG,2.5538,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
38.19,GBP,Netflix,NG,3.6685,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40.31,USD,Apple,RU,3.721,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
30.07,GBP,Shopify Merchant,NG,3.4364,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1280.18,EUR,Shopify Merchant,NG,7.1555,1.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,1
7.04,EUR,Amazon,NG,2.0846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30.37,USD,Apple,CN,3.4458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2269.19,GBP,Shopify Merchant,NG,7.7276,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
897.7,USD,Shopify Merchant,RU,6.8009,2.0,1.0,0.0,0.0,0.0,0.0,0.45,1.0,0
88.48,EUR,Shopify Merchant,NG,4.494,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
6.14,GBP,Apple,DE,1.966,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
15.3,GBP,Shopify Merchant,DE,2.7914,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
11.95,USD,Gambling Anonymous Hub,NG,2.5608,2.0,0.0,0.0,1.0,0.0,1.0,0.45,0.0,1
22.66,USD,Amazon,NG,3.1639,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
20.27,USD,Spotify,DE,3.0575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2226.86,GBP,Netflix,NG,7.7088,2.0,1.0,0.0,0.0,1.0,0.0,0.45,0.0,1
41.24,EUR,Spotify,NG,3.7433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9.29,EUR,Apple,NG,2.3312,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1618.44,GBP,Apple,CN,7.3898,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
9.81,GBP,Stripe Demo Store,RU,2.3801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
15.61,GBP,Shopify Merchant,NG,2.8099,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
8.5,GBP,Apple,NG,2.2512,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
19.41,GBP,Spotify,NG,3.0162,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17.89,USD,Spotify,NG,2.9386,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
11.58,EUR,Shopify Merchant,NG,2.5323,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
37.03,GBP,Apple,NG,3.6383,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1936.28,EUR,Stripe Demo Store,NG,7.569,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
42.26,GBP,Shopify Merchant,NG,3.7672,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0
17.52,EUR,Apple,NG,2.919,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
19.75,GBP,Stripe Demo Store,NG,3.0325,2.0,0.0,0.0,0.0,0.0,1.0,0.45,0.0,1
13.55,GBP,Netflix,DE,2.6773,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
19.99,USD,Shopify Merchant,NG,3.0439,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
33.07,GBP,Stripe Demo Store,NG,3.5284,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
15.06,EUR,Amazon,NG,2.7764,8.0,0.0,0.0,0.0,1.0,0.0,0.45,0.0,1
28.87,GBP,Netflix,NG,3.3969,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
931.47,EUR,Apple,NG,6.8378,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
34.17,GBP,Spotify,NG,3.5602,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
13.38,GBP,Apple,NG,2.6661,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36.46,EUR,Apple,NG,3.6232,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
20.96,USD,Spotify,NG,3.0893,1.0,0.0,0.0,0.0,0.0,1.0,0.45,0.0,0
58.25,EUR,Spotify,CN,4.0817,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
8.95,EUR,Shopify Merchant,NG,2.298,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
2379.23,GBP,Stripe Demo Store,NG,7.775,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
13.05,GBP,Amazon,NG,2.6425,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
7.62,EUR,Anonymous Crypto Mix,DE,2.1541,2.0,0.0,0.0,1.0,0.0,0.0,0.45,1.0,1
646.13,GBP,Stripe Demo Store,NG,6.4725,1.0,1.0,0.0,0.0,1.0,1.0,0.45,0.0,1
31.03,EUR,Netflix,NG,3.4668,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
20.03,GBP,Apple,NG,3.0458,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
14.36,EUR,Apple,NG,2.7316,4.0,0.0,0.0,0.0,0.0,1.0,0.45,0.0,0
2285.19,EUR,Netflix,NG,7.7346,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13.22,GBP,Netflix,NG,2.6548,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
63.77,GBP,Apple,NG,4.1708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,EUR,Apple,US,2.5652,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
7.96,EUR,Spotify,NG,2.1928,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
35.07,EUR,Stripe Demo Store,NG,3.5854,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
17.27,EUR,Netflix,NG,2.9053,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,1
83.69,USD,Spotify,NG,4.439,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
13.9,USD,Shopify Merchant,NG,2.7011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36.31,EUR,Apple,NG,3.6194,3.0,0.0,0.0,0.0,0.0,1.0,0.45,0.0,1
42.84,USD,Spotify,NG,3.7806,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
13.94,GBP,Netflix,NG,2.7043,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
11.94,EUR,Spotify,NG,2.5604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8555.11,GBP,Spotify,NG,9.0544,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
878.19,GBP,Spotify,NG,6.779,2.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,0
7.48,GBP,Amazon,DE,2.138,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
9.12,EUR,Amazon,NG,2.3142,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
7217.18,EUR,Gambling Anonymous Hub,NG,8.8844,3.0,1.0,1.0,1.0,0.0,1.0,0.45,0.0,1
1828.45,GBP,Shopify Merchant,NG,7.5118,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
16.72,EUR,Apple,NG,2.8748,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17.93,GBP,Shopify Merchant,NG,2.9408,6.0,0.0,0.0,0.0,0.0,1.0,0.45,0.0,1
6.15,USD,Netflix,NG,1.9667,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9.31,USD,Gambling Anonymous Hub,NG,2.3333,6.0,0.0,0.0,1.0,1.0,0.0,0.45,0.0,1
1644.17,GBP,Apple,CN,7.4056,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
12.55,GBP,Spotify,NG,2.6061,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
21.81,EUR,Stripe Demo Store,NG,3.1273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30.22,USD,Apple,US,3.441,3.0,0.0,0.0,0.0,0.0,1.0,0.45,1.0,1
98.37,USD,Shopify Merchant,RU,4.5988,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
19.81,USD,Dark Web Market,NG,3.0352,8.0,0.0,0.0,1.0,0.0,1.0,0.45,0.0,1
2281.64,GBP,Amazon,NG,7.7331,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1606.5,EUR,Stripe Demo Store,NG,7.3824,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
6.22,EUR,Stripe Demo Store,NG,1.9767,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
15.7,GBP,Netflix,NG,2.8152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.56,GBP,Spotify,US,2.0234,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
20.29,EUR,Wallet Drain Services,NG,3.0584,1.0,0.0,0.0,1.0,0.0,0.0,0.45,0.0,0
11.63,USD,Spotify,NG,2.5362,5.0,0.0,0.0,0.0,0.0,1.0,0.45,0.0,1
5.11,USD,XXX Test Casino,NG,1.8106,2.0,0.0,0.0,1.0,0.0,1.0,0.45,0.0,0
67.71,USD,Spotify,NG,4.2299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13.79,USD,Spotify,NG,2.6937,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6.38,EUR,Shopify Merchant,NG,1.9992,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
37.66,GBP,Apple,NG,3.6549,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12.06,USD,Netflix,RU,2.5696,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43.08,USD,Spotify,NG,3.7861,3.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,1
12.02,GBP,Netflix,NG,2.5665,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
13.75,USD,Apple,NG,2.6916,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8368.38,EUR,Wallet Drain Services,NG,9.0323,2.0,1.0,1.0,1.0,0.0,0.0,0.45,0.0,1
30.42,EUR,Amazon,NG,3.4476,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
34.4,USD,Shopify Merchant,NG,3.5666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18.86,EUR,Stripe Demo Store,NG,2.9888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
